Region,TaskType,MeanHourlyCount,VarianceHourlyCount,DispersionIndex,DispersionPValue,MaxAbsBlockCompositionDeviation
RegionA,AITraining,0.3681972789115646,0.3705406875638241,1.0063645463627184,0.8200597253214303,0.0014343676843949146
RegionA,BatchInference,1.3869047619047619,1.4146816957323047,1.0200280037898164,0.4890338082731851,0.0029582561188526285
RegionA,RealTimeInference,2.444302721088435,2.437560041030483,0.9972414709521128,0.9323089851076142,0.0032622981109680232
RegionB,AITraining,0.36096938775510207,0.351568264481456,0.9739558987754823,0.37289437538757386,0.001626547369656034
RegionB,BatchInference,1.3805272108843538,1.327276965656545,0.9614276018553107,0.18347898445195301,0.002888341972810529
RegionB,RealTimeInference,2.0871598639455784,2.0872531807278696,1.0000447099352106,0.9910197516923294,0.009985856476468158
RegionC,AITraining,0.3401360544217687,0.3317274166153106,0.9752786048490131,0.39814916197401157,0.0008132295163225389
RegionC,BatchInference,1.0539965986394557,1.0140971637485208,0.9621446265173542,0.19193090416698835,0.0015284715214349334
RegionC,RealTimeInference,1.7568027210884354,1.7026334140631416,0.9691659704444601,0.28983680097888576,0.0028994796315972293
RegionD,AITraining,2.3924319727891157,2.581363372656634,1.078970437620118,0.008071905300721438,0.004466711810861654
RegionD,BatchInference,1.3915816326530612,1.4012561958003078,1.0069522066979297,0.8045003721502675,0.002517796332291669
RegionD,RealTimeInference,0.20280612244897958,0.19151913211052823,0.9443459092745543,0.05299548520615494,0.0008112240784765596
RegionE,AITraining,1.6985544217687074,1.6466503977176028,0.9694422366537677,0.29426612986038914,0.0031509239979046755
RegionE,BatchInference,0.9009353741496599,0.857472540270899,0.9517581003856321,0.09460113626505359,0.0019989137632471995
RegionE,RealTimeInference,0.2699829931972789,0.2771419818459094,1.0265164429946123,0.3623381560761205,0.0010351792110410204
RegionF,AITraining,1.7274659863945578,1.7449194799144707,1.0101035236915665,0.7226199189752864,0.002979469633019316
RegionF,BatchInference,0.8490646258503401,0.8402458282334466,0.9896135142739442,0.7281285478887296,0.0021725229691991615
RegionF,RealTimeInference,0.20578231292517007,0.2068912635236935,1.005388950015965,0.8460580797694655,0.001249657403699778
