budget_ratio,budget,global_cost,alloc_cost,cost_abs_diff,global_carbon,alloc_carbon,carbon_abs_diff,global_iterations,alloc_iterations,global_energy_s,alloc_energy_s,global_total_s,alloc_total_s
1.0,53.647629846155745,-5018111.400085245,-5018111.400085246,9.313225746154785e-10,53.647629846155745,53.647629846155745,0.0,3,3,0.04600882530212402,0.07889890670776367,0.4639112949371338,0.8328168392181396
0.75,40.23572238461681,-5016918.645301715,-5016918.645301716,1.862645149230957e-09,40.23572238461681,40.235722384617624,8.171241461241152e-13,3,3,0.0493617057800293,0.0799102783203125,0.4764139652252197,0.8094959259033203
0.5,26.823814923077872,-5015725.890518184,-5015725.890518185,9.313225746154785e-10,26.823814923077872,26.82381492307869,8.171241461241152e-13,3,3,0.05519270896911621,0.07675838470458984,0.4837009906768799,0.7977585792541504
0.25,13.411907461538936,-5014489.572049911,-5014489.572049912,9.313225746154785e-10,13.411907461538936,13.411907461538936,0.0,3,3,0.04616117477416992,0.0778958797454834,0.4509129524230957,0.7168550491333008
0.0,0.0,-5013150.079013562,-5013150.079013563,9.313225746154785e-10,0.0,0.0,0.0,3,4,0.0435175895690918,0.10460972785949707,0.462054967880249,1.065856695175171
