tasks,columns,build_s,original_resource_rows,presolved_resource_rows,row_reduction_pct,original_nnz,presolved_nnz,nnz_reduction_pct,original_matrix_mb,presolved_matrix_mb,original_solve_s,presolved_solve_s,original_nit,presolved_nit,objective_original,objective_presolved,objective_abs_diff,gpu_rows_kept,ai_rows_kept,rss_mb
40,3139,0.0564424991607666,540,196,63.7037037037037,59272,23043,61.12329599136186,0.713592,0.277468,0.027405261993408203,0.012601137161254883,42,42,0.21427745783498714,0.21427745783498714,0.0,137,59,518.20703125
100,5435,0.08735918998718262,540,197,63.51851851851852,99755,39464,60.4390757355521,1.199628,0.474764,0.04509305953979492,0.022109031677246094,100,100,0.5142774578349874,0.5142774578349874,0.0,138,59,518.20703125
500,30152,0.5370330810546875,540,205,62.03703703703704,393563,165601,57.922619758463064,4.726924,1.99004,0.21985793113708496,0.10705065727233887,482,482,2.513546762512579,2.513546762512579,0.0,146,59,518.20703125
