n,status,total_s,peak_rss_mb,final_columns,columns_per_task,cuts,iterations,final_lb,final_recourse
5000,CONVERGED,7.534984350204468,630.97265625,5130,1.026,8,3,-459242272.02467966,-459242272.02467966
10000,CONVERGED,9.098719358444214,631.47265625,10277,1.0277,10,5,-459272850.98086387,-459272850.98086387
25000,CONVERGED,16.90534806251526,641.25390625,25713,1.02852,10,7,-459336400.91060364,-459336400.91060364
50000,CONVERGED,19.664721250534058,649.63671875,51465,1.0293,11,8,-459340688.8002432,-459340688.80024314
