iter,columns,cuts,master_s,energy_s,pricing_s,lb,recourse,gap,newcuts,min_rc,neg_candidates,templates,added,rss_mb
1,50000,6,0.33394503593444824,0.5964384078979492,3.0461549758911133,-459127724.7138148,-459127724.71381444,3.5762786865234375e-07,0,-30407.832000000006,3744,4680,1332,563.88671875
2,51332,8,0.2168412208557129,0.6035065650939941,,-461445321.57114553,-459326214.81784356,2119106.753301978,2,,,,,649.26171875
3,51332,9,0.209930419921875,0.6017916202545166,,-459340467.24146545,-459318503.512476,21963.72898942232,1,,,,,649.26171875
4,51332,10,0.22754621505737305,0.6126482486724854,,-459340467.24146545,-459320050.19077784,20417.050687611103,1,,,,,649.26171875
5,51332,10,0.22305083274841309,0.595933198928833,2.7997615337371826,-459333922.8582823,-459333922.8582823,0.0,0,-8939.424,179,4680,80,649.26171875
6,51412,10,0.2228851318359375,0.6056094169616699,2.8872435092926025,-459338555.79084396,-459338555.79084396,0.0,0,-4739.436000000001,148,4680,53,649.63671875
7,51465,11,0.21968436241149902,0.5878932476043701,,-459343492.0027287,-459340688.80024314,2803.202485561371,1,,,,,649.63671875
8,51465,11,0.22451257705688477,0.60611891746521,2.8360276222229004,-459340688.8002432,-459340688.80024314,5.960464477539063e-08,0,0.0,0,4680,0,649.63671875
