TaskID,任务类型,源区域,目标区域,到达小时,开工小时,完成小时,等待_h,时延_ms,是否迁移
48972,AITraining,RegionF,RegionB,1890,1890,1893.6333333333334,0.0,79.0,True
48973,BatchInference,RegionA,RegionA,1111,1173,1174.7,62.0,5.0,False
48974,AITraining,RegionD,RegionF,500,500,504.3666666666667,0.0,25.0,True
48975,BatchInference,RegionB,RegionA,48,48,51.95,0.0,12.0,True
48976,RealTimeInference,RegionB,RegionA,576,576,580.5666666666667,0.0,12.0,True
48977,RealTimeInference,RegionC,RegionC,1348,1348,1352.4833333333333,0.0,5.0,False
48978,RealTimeInference,RegionC,RegionA,2230,2230,2233.5666666666666,0.0,15.0,True
48979,AITraining,RegionF,RegionE,1527,1527,1531.1,0.0,18.0,True
48980,AITraining,RegionC,RegionF,2302,2302,2307.516666666667,0.0,76.0,True
48981,AITraining,RegionD,RegionF,1796,1796,1798.45,0.0,25.0,True
48982,BatchInference,RegionC,RegionD,2109,2109,2112.616666666667,0.0,58.0,True
48983,RealTimeInference,RegionB,RegionA,306,306,312.26666666666665,0.0,12.0,True
48984,BatchInference,RegionD,RegionD,1292,1292,1295.8333333333333,0.0,5.0,False
48985,BatchInference,RegionF,RegionD,22,22,24.316666666666666,0.0,25.0,True
48986,AITraining,RegionA,RegionF,2138,2138,2144.016666666667,0.0,82.0,True
48987,AITraining,RegionD,RegionF,462,462,464.6666666666667,0.0,25.0,True
48988,BatchInference,RegionB,RegionC,252,252,255.85,0.0,14.0,True
48989,AITraining,RegionD,RegionE,1807,1845,1846.95,38.0,22.0,True
48990,BatchInference,RegionD,RegionF,2311,2311,2314.2,0.0,25.0,True
48991,RealTimeInference,RegionC,RegionA,1520,1520,1522.8666666666666,0.0,15.0,True
48992,BatchInference,RegionF,RegionD,1141,1152,1153.0,11.0,25.0,True
48993,AITraining,RegionC,RegionA,122,1151,1151.95,1029.0,15.0,True
48994,RealTimeInference,RegionA,RegionC,1237,1237,1239.9666666666667,0.0,15.0,True
48995,AITraining,RegionD,RegionF,2066,2066,2069.233333333333,0.0,25.0,True
48996,AITraining,RegionE,RegionB,1744,1744,1748.4,0.0,74.0,True
48997,AITraining,RegionE,RegionA,179,179,180.48333333333332,0.0,78.0,True
48998,AITraining,RegionF,RegionE,54,67,68.88333333333334,13.0,18.0,True
48999,AITraining,RegionA,RegionB,635,642,644.0,7.0,12.0,True
49000,BatchInference,RegionA,RegionE,2039,2088,2088.733333333333,49.0,78.0,True
49001,AITraining,RegionD,RegionB,2106,2106,2108.45,0.0,60.0,True
49002,RealTimeInference,RegionB,RegionC,659,659,664.5666666666667,0.0,14.0,True
49003,BatchInference,RegionD,RegionD,2347,2347,2351.75,0.0,5.0,False
49004,RealTimeInference,RegionC,RegionC,972,972,973.7833333333333,0.0,5.0,False
49005,BatchInference,RegionF,RegionB,537,572,572.1666666666666,35.0,79.0,True
49006,BatchInference,RegionA,RegionE,1101,1101,1107.15,0.0,78.0,True
49007,AITraining,RegionD,RegionD,1841,1844,1844.6333333333334,3.0,5.0,False
49008,AITraining,RegionD,RegionA,1210,1210,1214.1,0.0,65.0,True
49009,BatchInference,RegionC,RegionE,1314,1314,1317.8,0.0,70.0,True
49010,RealTimeInference,RegionC,RegionA,672,672,675.05,0.0,15.0,True
49011,AITraining,RegionF,RegionD,260,260,263.6333333333333,0.0,25.0,True
49012,BatchInference,RegionA,RegionD,1382,1382,1386.9333333333334,0.0,65.0,True
49013,RealTimeInference,RegionA,RegionB,1295,1295,1295.3666666666666,0.0,12.0,True
49014,BatchInference,RegionB,RegionE,760,760,763.0,0.0,74.0,True
49015,AITraining,RegionD,RegionE,1221,1221,1225.65,0.0,22.0,True
49016,AITraining,RegionE,RegionE,958,958,962.5666666666667,0.0,5.0,False
49017,AITraining,RegionF,RegionD,2004,2004,2009.8,0.0,25.0,True
49018,RealTimeInference,RegionD,RegionD,1292,1292,1292.1666666666667,0.0,5.0,False
49019,AITraining,RegionB,RegionA,555,568,569.9666666666667,13.0,12.0,True
49020,RealTimeInference,RegionA,RegionB,1116,1116,1122.0833333333333,0.0,12.0,True
49021,RealTimeInference,RegionB,RegionB,139,139,140.46666666666667,0.0,5.0,False
49022,RealTimeInference,RegionB,RegionB,1658,1658,1663.5666666666666,0.0,5.0,False
49023,RealTimeInference,RegionC,RegionA,1181,1181,1186.0666666666666,0.0,15.0,True
49024,RealTimeInference,RegionC,RegionC,1696,1696,1698.3166666666666,0.0,5.0,False
49025,RealTimeInference,RegionF,RegionF,2024,2024,2026.6666666666667,0.0,5.0,False
49026,BatchInference,RegionA,RegionD,1964,1964,1966.3,0.0,65.0,True
49027,AITraining,RegionD,RegionF,749,806,808.8666666666667,57.0,25.0,True
