碳预算比例,碳预算_tCO2,状态,能源成本_CNY,碳排放_tCO2,相对成本最优成本变化_CNY,减排量_tCO2,平均减排成本_CNY每tCO2
1.0,1287.2307119810282,可行,-430035852.16603106,1287.2307119810282,-5.960464477539063e-08,0.0,
0.75,965.4230339857711,可行,-430015149.81658864,965.4230339857714,20702.349442362785,321.80767799525677,64.33143413895776
0.5,643.6153559905141,不可行,,,,,
0.25,321.80767799525705,不可行,,,,,
0.0,1e-08,不可行,,,,,
