iter,LB,candidate_Q,UB,gap,master_time,cuts
1,-5465627.184363884,-5450201.934545998,-5450201.934545998,15425.249817885458,0.2035365104675293,6
2,-5450201.934545999,-5450201.934545998,-5450201.934545998,9.313225746154785e-10,0.12200307846069336,12
