fraction,carbon_budget,exact_cost,exact_carbon,exact_time_s,benders_cost,benders_iters,benders_time_s,migrated,total_wait,mean_wait,max_wait,lat_sum,lat_mean,cost_penalty_vs_costopt,carbon_reduction_vs_costopt,avg_abatement_CNY_per_tCO2
1.0,53.647629846155745,-5018111.400085246,53.647629846155745,0.1871790885925293,-5018111.400085245,2,0.4523458480834961,35,179.0,4.475,15.0,1636.0,40.9,0.0,0.0,
0.75,40.23572238461681,-5016918.6453017155,40.23572238461681,0.8012371063232422,-5016918.645301715,2,0.43461179733276367,36,224.0,5.6,16.0,1810.0,45.25,1192.7547835307196,13.411907461538938,88.93252409854146
0.5,26.823814923077872,-5015725.890518185,26.823814923077872,0.8573629856109619,-5015725.890518184,2,0.44201207160949707,29,167.0,4.175,16.0,1697.0,42.425,2385.509567061439,26.823814923077872,88.93252409854146
0.25,13.411907461538936,-5014489.572049911,13.411907461538936,0.4065053462982178,-5014489.572049911,2,0.45590972900390625,35,201.0,5.025,24.0,1765.0,44.125,3621.8280353350565,40.23572238461681,90.01523573290629
0.0,1e-08,-5013150.079013563,1e-08,0.8102080821990967,-5013150.079014561,2,0.44866013526916504,28,178.0,4.45,15.0,1762.0,44.05,4961.321071683429,53.647629836155744,92.47978124729293
