TaskType,任务数,迁移任务数,迁移率,延迟任务数,平均等待_h,等待P95_h,最大等待_h
AITraining,16559,12253,0.7399601425206837,10020,27.819795881393805,128.0,2034
BatchInference,16717,13862,0.829215768379494,10388,35.13010707662858,178.1999999999989,1956
RealTimeInference,16724,11738,0.7018655823965558,0,0.0,0.0,0
