方案,tasks,migrated_tasks,migration_rate,delayed_tasks,mean_latency_ms,p95_latency_ms,max_latency_ms,max_gpu_util_pct,max_it_violation_mw,max_facility_violation_mw,max_gpu_hour_violation,deadline_violations,latency_violations,baseline_cost_cny,cost_cny,delta_cost_cny,baseline_carbon_tco2,carbon_tco2,delta_carbon_tco2,baseline_eta_R,eta_R,delta_renewable_use_mwh,delta_curtailment_mwh,max_grid_import_mw,min_used_renewable_mw,min_curtailment_mw,energy_balance_max_residual_baseline_mw,energy_balance_max_residual_final_mw,g0_min_mw,delta_l_zero_baseline_reproduction,baseline_ai_it_max_error_mw,overlap_conservation_max_error_h,max_grid_import_violation_mw,max_grid_export_violation_mw,all_energy_nonnegative,all_capacity_and_sla_pass,status
附件基准,50000,0,0.0,0,5.0,5.0,5.0,135.5831608005521,0.0,0.0,358.79999999999995,0,0,1801786872.691887,1801786872.691887,0.0,2045367.4752840467,2045367.4752840467,0.0,0.32846406276627715,0.32846406276627715,0.0,0.0,497.0016,32.9524,0.0,,,,,,,,,,,
SFETA构造式草稿,50000,23329,0.46658,21158,26.21798,79.0,82.0,100.00000000000003,0.0,0.0,2.2737367544323206e-13,0,0,1801786872.691887,1669594049.271103,-132192823.420784,2045367.4752840467,1918213.4922276507,-127153.98305639601,0.32846406276627715,0.3629814075961002,398505.105666,-398505.10566600005,497.0016,0.0031999999999356987,0.0,0.00020000000002085017,0.00020041666675751912,0.0,True,3.3333333959717493e-07,0.0,0.0,0.0,True,True,PASS
