TaskType,任务数,迁移任务数,迁移率,延迟任务数,平均等待_h,等待P95_h,最大等待_h
AITraining,16559,12878,0.7777039676308956,11576,29.428347122410774,113.09999999999854,1932
BatchInference,16717,13026,0.7792067954776575,12745,42.12239038104923,202.0,2239
RealTimeInference,16724,5705,0.34112652475484334,0,0.0,0.0,0
