方案,mode,start,pass,primary_objective,relative_improvement,cost_cny,carbon_tco2,eta_R,mean_wait_h,p95_wait_h,max_wait_h,migration_rate,fallback_count,changed_placements,removal_dependent_count,gpu_violation,latest_finish_violations
Cost-primary,cost,reference,1,1562872479.3892486,,1562872479.3892486,1833672.6544798352,0.3716669421293347,14.32728,42.0,2054.0,0.75054,1,41033,99,1.1368683772161605e-13,0
Cost-primary,cost,reference,2,1556268582.4321704,0.0042254867522262,1556268582.4321704,1827611.7962826672,0.3727143271050035,19.04946,71.0,2017.0,0.75062,0,9798,0,1.1368683772161605e-13,0
Cost-primary,cost,reference,3,1555371304.1316478,0.0005765574854182,1555371304.1316478,1826774.354637248,0.3729211901630813,20.47522,76.0,2016.0,0.74896,0,3012,0,1.1368683772161605e-13,0
Carbon-primary,carbon,reference,1,1821562.901426745,,1564578141.3798962,1821562.901426745,0.372088528191501,13.26426,46.0,1893.0,0.7555,1,41211,120,2.273736754432321e-13,0
Carbon-primary,carbon,reference,2,1816461.3612512168,0.0028006390399875,1559285978.5009348,1816461.3612512168,0.3729001313252799,19.79282,76.0,2149.0,0.75732,0,10071,0,2.273736754432321e-13,0
Carbon-primary,carbon,reference,3,1815531.605620396,0.0005118499356245,1558153356.531096,1815531.605620396,0.3731289044475321,20.95876,83.0,2034.0,0.75706,0,3604,0,4.547473508864641e-13,0
