TaskType,任务数,迁移任务数,迁移率,延迟任务数,平均等待_h,等待P95_h,最大等待_h
AITraining,16559,12713,0.7677395978017997,11117,21.513014070898002,71.0,1982
BatchInference,16717,12528,0.7494167613806305,12086,27.474905784530716,92.0,2136
RealTimeInference,16724,3433,0.20527385792872518,0,0.0,0.0,0
