X_滞后时间_小时,Y_自相关系数_无量纲,Y_零参考线_无量纲,标签_关键滞后
1,-0.0058871723446723544,0.0,lag 1
2,0.007209988309131243,0.0,
3,-0.006639850231935517,0.0,
4,-0.015077107572394161,0.0,
5,0.00608155439378826,0.0,
6,0.0027246472642973286,0.0,
7,-0.03421936706088318,0.0,
8,-0.01551924643923969,0.0,
9,0.013313796022645907,0.0,
10,0.01609157958369397,0.0,
11,0.04831419779799496,0.0,
12,-0.012790690245212955,0.0,
13,0.004712606833698479,0.0,
14,0.00939667703303579,0.0,
15,0.020177950457815643,0.0,
16,0.000861043284641033,0.0,
17,-0.014055202257844462,0.0,
18,0.0043532233758120905,0.0,
19,-0.015984878248741903,0.0,
20,0.013474427267799766,0.0,
21,-0.002291812431776179,0.0,
22,-0.027878623084766557,0.0,
23,0.017772323373176486,0.0,
24,-0.03846063017106368,0.0,lag 24
25,-0.010798820137886895,0.0,
26,-0.03001931226056233,0.0,
27,-0.016046373125649573,0.0,
28,0.004845291043622614,0.0,
29,-0.014403638615031831,0.0,
30,-7.926271110354988e-05,0.0,
31,0.025967101269662403,0.0,
32,-0.014069694157368771,0.0,
33,0.000747095589696816,0.0,
34,-0.013544839184195549,0.0,
35,-0.007819152484708844,0.0,
36,-0.04848752101333108,0.0,
37,0.014840968133566309,0.0,
38,-0.017751599299212273,0.0,
39,-0.0017931792505462424,0.0,
40,0.014159121267963303,0.0,
41,0.009310740652184173,0.0,
42,-0.002397088400039275,0.0,
43,0.028501570906486653,0.0,
44,0.003989779552869366,0.0,
45,-0.009705564992377732,0.0,
46,0.004884279027637759,0.0,
47,0.010086566044574662,0.0,
48,-0.026869863343704403,0.0,
49,0.00030792747114035925,0.0,
50,-0.004167147046944005,0.0,
51,0.009765376326186813,0.0,
52,0.003934601277325173,0.0,
53,0.012971695506033519,0.0,
54,-0.0039974314611468465,0.0,
55,0.038243013909793594,0.0,
56,-0.012635821909657926,0.0,
57,-0.0077823615903763665,0.0,
58,-0.018103467580703927,0.0,
59,-0.021827775510227434,0.0,
60,0.002412684586501151,0.0,
61,-0.025707948622491077,0.0,
62,0.017482595125521264,0.0,
63,0.014204011240643551,0.0,
64,-0.01833750712164233,0.0,
65,0.052560639863654994,0.0,
66,0.029684682138394675,0.0,
67,0.006747428096371608,0.0,
68,-0.03128641162670485,0.0,
69,0.018813576233393803,0.0,
70,0.012754594091698183,0.0,
71,0.025871033021933228,0.0,
72,-0.011797745064706804,0.0,
73,0.023244214499466398,0.0,
74,0.009375583369413815,0.0,
75,0.0010545235557621784,0.0,
76,-0.012515776982714492,0.0,
77,-0.038588296498273784,0.0,
78,0.0009721914123894703,0.0,
79,0.007746467881424783,0.0,
80,0.049397802818924606,0.0,
81,-0.015309147010324474,0.0,
82,-0.016513993663983473,0.0,
83,-0.013911692306623629,0.0,
84,0.0002883237334446987,0.0,
85,-0.01446931699904069,0.0,
86,0.010566158861663297,0.0,
87,0.006342610950889272,0.0,
88,-0.0033740508601047196,0.0,
89,0.0029808624630824013,0.0,
90,0.02126260635436798,0.0,
91,0.007076522112654297,0.0,
92,-0.02857741559646721,0.0,
93,-0.0006663021993531831,0.0,
94,-0.022007989805709366,0.0,
95,0.028529557027606664,0.0,
96,-0.0011438153707304989,0.0,
97,-0.03848959681893936,0.0,
98,0.009355343249355975,0.0,
99,0.007899803904025358,0.0,
100,0.014858093630149685,0.0,
101,-0.018679050348254997,0.0,
102,-0.01952031401841455,0.0,
103,-0.02475273914727833,0.0,
104,0.006543069739923424,0.0,
105,0.00908835542524078,0.0,
106,0.0054081045890211,0.0,
107,-0.009444546836479927,0.0,
108,0.0007084115637028696,0.0,
