Y_滞后1-24h自相关系数,Y_滞后25-48h自相关系数,Y_滞后49-72h自相关系数,Y_滞后73-96h自相关系数,Y_滞后97-120h自相关系数,Y_滞后121-144h自相关系数,Y_滞后145-168h自相关系数
-0.0058871723446723544,-0.010798820137886895,0.00030792747114035925,0.023244214499466398,-0.03848959681893936,0.017238991028953172,-0.01666654369842592
0.007209988309131243,-0.03001931226056233,-0.004167147046944005,0.009375583369413815,0.009355343249355975,0.015957350505426588,-0.06207191397882165
-0.006639850231935517,-0.016046373125649573,0.009765376326186813,0.0010545235557621784,0.007899803904025358,-0.01610353854728556,-0.023293776546809388
-0.015077107572394161,0.004845291043622614,0.003934601277325173,-0.012515776982714492,0.014858093630149685,0.010400978233714492,-0.02562094240696565
0.00608155439378826,-0.014403638615031831,0.012971695506033519,-0.038588296498273784,-0.018679050348254997,-0.011741269802858516,0.005401138745114071
0.0027246472642973286,-0.00007926271110354988,-0.0039974314611468465,0.0009721914123894703,-0.01952031401841455,-0.01787163313599869,0.025113577845295006
-0.03421936706088318,0.025967101269662403,0.038243013909793594,0.007746467881424783,-0.02475273914727833,-0.025243908010377375,-0.011376984108995795
-0.01551924643923969,-0.014069694157368771,-0.012635821909657926,0.049397802818924606,0.006543069739923424,-0.001905109846967483,-0.024257596897566243
0.013313796022645907,0.000747095589696816,-0.0077823615903763665,-0.015309147010324474,0.00908835542524078,-0.014785007092960399,0.03567127798740849
0.01609157958369397,-0.013544839184195549,-0.018103467580703927,-0.016513993663983473,0.0054081045890211,-0.02788389854182223,0.007749705652387057
0.04831419779799496,-0.007819152484708844,-0.021827775510227434,-0.013911692306623629,-0.009444546836479927,-0.014350725722695648,0.024836614523336846
-0.012790690245212955,-0.04848752101333108,0.002412684586501151,0.0002883237334446987,0.0007084115637028696,0.018376993776363825,0.02911709080557372
0.004712606833698479,0.014840968133566309,-0.025707948622491077,-0.01446931699904069,0.006075064984832635,0.004968600199018755,0.000453115453536668
0.00939667703303579,-0.017751599299212273,0.017482595125521264,0.010566158861663297,0.008226753268222795,0.012970601406761727,0.014195823600617661
0.020177950457815643,-0.0017931792505462424,0.014204011240643551,0.006342610950889272,0.03859304063508362,0.004759178317386969,0.017794007787623516
0.000861043284641033,0.014159121267963303,-0.01833750712164233,-0.0033740508601047196,-0.00617532313235382,0.005415523113277007,0.023250406071730356
-0.014055202257844462,0.009310740652184173,0.052560639863654994,0.0029808624630824013,-0.00034567735658251353,-0.001284504107439691,-0.04676917689749595
0.0043532233758120905,-0.002397088400039275,0.029684682138394675,0.02126260635436798,-0.007604769715048005,-0.003312161780580328,-0.0003897869879605448
-0.015984878248741903,0.028501570906486653,0.006747428096371608,0.007076522112654297,-0.028448765524969784,-0.00014089873383433274,0.0377898199149501
0.013474427267799766,0.003989779552869366,-0.03128641162670485,-0.02857741559646721,0.01312983003725625,0.0024182196143271136,-0.00673965072774208
-0.002291812431776179,-0.009705564992377732,0.018813576233393803,-0.0006663021993531831,-0.03478404724306632,0.013115039371963082,-0.023001212207458006
-0.027878623084766557,0.004884279027637759,0.012754594091698183,-0.022007989805709366,-0.0210571420365887,-0.007072070819402959,-0.0029830302686782036
0.017772323373176486,0.010086566044574662,0.025871033021933228,0.028529557027606664,-0.006630523848429609,0.016031108643128213,-0.008463927014850799
-0.03846063017106368,-0.026869863343704403,-0.011797745064706804,-0.0011438153707304989,0.020235918633731413,-0.0247515145473867,0.03355078939822889
