类别_场景,Y_能源成本（CNY）,Y_总等待（h）,Y_总时延（ms）,类别_数据状态
canonical_final_pool,-459340688.8007043,0.0,250860.0,canonical已完成
price_flat证书端点,-459340688.8007043,0.0,250860.0,price_flat证书+Latency已完成
