阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,最大区域违反_CNY,theta_A_CNY,theta_B_CNY,theta_C_CNY,theta_D_CNY,theta_E_CNY,theta_F_CNY,真实能源成本_A_CNY,真实能源成本_B_CNY,真实能源成本_C_CNY,真实能源成本_D_CNY,真实能源成本_E_CNY,真实能源成本_F_CNY,区域违反_A_CNY,区域违反_B_CNY,区域违反_C_CNY,区域违反_D_CNY,区域违反_E_CNY,区域违反_F_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟,主导违反区域,LP界,MIP Gap,阶段运行秒,峰值RSS_GiB,可行Latency上界_ms,Latency下界_ms,Latency相对Gap,成本上界违反_CNY
Latency阶段,1,added_columns,137160,6,250218.75411598466,-459341389.19899905,-459341389.19999903,-0.0009999871253967285,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154220609.4000006,-162337500.5989988,0.0,0.0,0.0,-142783279.19999963,-154220609.4000006,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,-0.0010012388229370117,2,-0.47706422018348604,False,,,0.2269744873046875,0.6719698905944824,RegionA,250218.75411598466,,40.318193435668945,0.3389015197753906,,,,
Latency阶段,2,root_lp_closed,137160,6,250218.55308759576,-459341389.19899905,-459341389.19999903,-0.0009999871253967285,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154220609.4000006,-162337500.5989988,0.0,0.0,0.0,-142783279.19999963,-154220609.4000006,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,-0.0010012388229370117,0,0.0,True,,,0.23095321655273438,1.1082163055737813,RegionA,250218.55308759576,,66.49297833442688,0.3389015197753906,,,,
Latency阶段,2,stage_completed,137160,6,250218.55308759576,-459341389.19899905,-459341389.19999903,0.0,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154220609.4000006,-162337500.5989988,0.0,0.0,0.0,-142783279.19999963,-154220609.4000006,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,-0.0010012388229370117,0,0.0,True,restricted_mip_completed,250419.0,0.23095321655273438,1.1082163055737813,RegionA,250218.55308759576,0.0,66.49297833442688,0.3389015197753906,250419.0,250419.0,0.0,0.0
