阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,最大区域违反_CNY,theta_A_CNY,theta_B_CNY,theta_C_CNY,theta_D_CNY,theta_E_CNY,theta_F_CNY,真实能源成本_A_CNY,真实能源成本_B_CNY,真实能源成本_C_CNY,真实能源成本_D_CNY,真实能源成本_E_CNY,真实能源成本_F_CNY,区域违反_A_CNY,区域违反_B_CNY,区域违反_C_CNY,区域违反_D_CNY,区域违反_E_CNY,区域违反_F_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟
Wait阶段,1,added_region_benders_cuts,51260,8,377179.93075674464,-459597007.30938077,-459161483.7134063,435523.59597444534,254488.33863264322,-0.0,-0.0,-0.0,-142783279.19999963,-154303838.82599697,-162509889.28338423,0.0,0.0,0.0,-142783279.19999963,-154122803.56865653,-162255400.9447516,0.0,0.0,0.0,0.0,181035.2573404312,254488.33863264322,0,nan,False,,,0.17403030395507812,0.1288284182548523
Wait阶段,2,added_region_benders_cuts,51260,10,377179.93075674464,-459560729.4792594,-459315073.07890433,245656.40035504103,138037.27754852176,-0.0,-0.0,-0.0,-142783279.19999963,-154301912.40171114,-162475537.87754858,0.0,0.0,0.0,-142783279.19999963,-154194293.27890593,-162337500.60000005,0.0,0.0,0.0,0.0,107619.12280520797,138037.27754852176,0,nan,False,,,0.16079330444335938,0.10695716937383017
