Region,E0Cost,E1FullCost,BESSValueFull,ReducedValue,ValueAbsDiff,FullThroughput,ReducedThroughput,ThroughputAbsDiff,Stage2GridChargeSum,Stage2GridChargeMax,SOCDualMin,SOCDualMax,SOCDualNonzero
RegionA,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0
RegionB,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0
RegionC,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0
RegionD,-133039578.07081133,-142783279.19999963,9743701.1291883,9743701.129188655,3.557652235031128e-07,81550.42450402581,81550.42450495737,9.315554052591324e-07,0.0,0.0,-0.0,-0.0,0
RegionE,-140473204.72832286,-154169396.8906654,13696192.162342548,13696192.162341924,6.239861249923706e-07,125593.16058655948,125593.1605876134,1.0539224604144692e-06,0.0,0.0,-187.9344,-0.0,42
RegionF,-146307544.9401757,-162265114.9487048,15957570.008529097,15957570.008529024,7.264316082000732e-08,139058.34867894422,139058.34867994522,1.000997144728899e-06,0.0,0.0,-197.20650000000003,-0.0,88
