mode,pass,cost_cny,carbon_tco2,mean_wait_h,p95_wait_h,max_wait_h,migration_rate
cost,1,1562972726.9980233,1833942.5675452237,10.83024,38,2022,0.75146
cost,2,1556114268.0821338,1827546.4473678013,17.17936,67,2022,0.75086
cost,3,1554958103.8526173,1826451.4787592357,18.91522,76,2022,0.75026
carbon,1,1564876940.7685866,1822051.4639411983,10.86834,35,1644,0.75592
carbon,2,1558908225.5564165,1816179.2884477968,16.49946,62,2274,0.75640
carbon,3,1557745700.9311328,1815207.8827400673,17.69312,70,2158,0.75610
