mode,start,pass,primary_objective,relative_improvement,cost_cny,carbon_tco2,eta_R,mean_wait_h,p95_wait_h,max_wait_h,migration_rate,fallback_count,changed_placements,removal_dependent_count,gpu_violation,latest_finish_violations
cost,reference,1,1562872479.3892486,,1562872479.3892486,1833672.6544798352,0.3716669421293347,14.32728,42.0,2054.0,0.75054,1,41033,99,1.1368683772161603e-13,0
cost,reference,2,1556268582.4321704,0.004225486752226222,1556268582.4321704,1827611.7962826672,0.3727143271050035,19.04946,71.0,2017.0,0.75062,0,9798,0,1.1368683772161603e-13,0
cost,reference,3,1555371304.1316478,0.0005765574854182816,1555371304.1316478,1826774.354637248,0.3729211901630813,20.47522,76.0,2016.0,0.74896,0,3012,0,1.1368683772161603e-13,0
