mode,start,pass,primary_objective,relative_improvement,cost_cny,carbon_tco2,eta_R,mean_wait_h,p95_wait_h,max_wait_h,migration_rate,fallback_count,changed_placements,removal_dependent_count,gpu_violation,latest_finish_violations
cost,previous,1,1593608179.113067,,1593608179.113067,1853602.1306051575,0.3748719727417303,15.96796,48.0,2136.0,0.57338,0,21972,200,0.0,0
cost,previous,2,1579716442.8056028,0.008717159267590896,1579716442.8056028,1841279.4523190497,0.3767404813505727,21.4536,84.0,2285.0,0.61638,0,10786,10,1.1368683772161603e-13,0
cost,previous,3,1577048853.1269438,0.0016886509542948596,1577048853.1269438,1838837.1349744857,0.3770890043866603,23.35642,92.0,2216.0,0.62734,0,4568,7,1.1368683772161603e-13,0
cost,previous,4,1576174462.1213064,0.0005544476342021242,1576174462.1213064,1838076.5728143891,0.3771797192336706,23.82928,94.0,2239.0,0.63218,0,1953,8,1.1368683772161603e-13,0
