mode,start,pass,primary_objective,relative_improvement,cost_cny,carbon_tco2,eta_R,mean_wait_h,p95_wait_h,max_wait_h,migration_rate,fallback_count,changed_placements,removal_dependent_count,gpu_violation,latest_finish_violations
carbon,reference,1,1821562.9014267453,,1564578141.3798962,1821562.9014267453,0.37208852819150107,13.26426,46.0,1893.0,0.7555,1,41211,120,2.2737367544323206e-13,0
carbon,reference,2,1816461.3612512166,0.0028006390399875473,1559285978.5009348,1816461.3612512166,0.3729001313252799,19.79282,76.0,2149.0,0.75732,0,10071,0,2.2737367544323206e-13,0
carbon,reference,3,1815531.6056203956,0.0005118499356245896,1558153356.531096,1815531.6056203956,0.37312890444753216,20.95876,83.0,2034.0,0.75706,0,3604,0,4.547473508864641e-13,0
