阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,最大区域违反_CNY,theta_A_CNY,theta_B_CNY,theta_C_CNY,theta_D_CNY,theta_E_CNY,theta_F_CNY,真实能源成本_A_CNY,真实能源成本_B_CNY,真实能源成本_C_CNY,真实能源成本_D_CNY,真实能源成本_E_CNY,真实能源成本_F_CNY,区域违反_A_CNY,区域违反_B_CNY,区域违反_C_CNY,区域违反_D_CNY,区域违反_E_CNY,区域违反_F_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟,主导违反区域,LP界,MIP Gap,阶段运行秒,峰值RSS_GiB,可行Latency上界_ms,Latency下界_ms,Latency相对Gap,成本上界违反_CNY
renew_down_80 Cost区域多切,1,added_region_benders_cuts_and_columns,162552,12,-431176552.9773905,-431176552.9773905,-410731274.32402843,20445278.653362095,4843048.684874624,-601117.0415156005,-399730.85948934924,-1930401.7203364256,-143836449.41162196,-134928210.96256915,-149480642.98185804,3541765.978241012,1797607.9712239364,1028163.5779184968,-138993400.72674733,-131357733.43041618,-146747677.69424883,4142883.0197566124,2197338.8307132856,2958565.2982549225,4843048.684874624,3570477.5321529657,2732965.2876092196,25394,-39186.901600000056,False,,,0.20843505859375,0.271437406539917,RegionD,-431176552.9773905,,16.252841472625732,0.17345809936523438,,,,
renew_down_80 Cost区域多切,2,added_region_benders_cuts_and_columns,195509,18,-430922640.6484362,-430922640.6484362,-415196397.9142289,15726242.734207273,3559000.1827269197,-456166.9346528235,-303895.94775487523,-1149352.8456856764,-139790139.9761161,-139314166.39618453,-149908918.5480422,2310853.0134224896,2315371.3503275523,800010.4950051204,-136231139.79338917,-136676220.31394455,-147715272.66565132,2767019.948075313,2619267.2980824276,1949363.3406907967,3559000.1827269197,2637946.0822399855,2193645.8823908865,32957,-36874.66357505539,False,,,0.2225494384765625,0.6326085090637207,RegionD,-430922640.6484362,,37.923107624053955,0.21205902099609375,,,,
renew_down_80 Cost区域多切,3,added_region_benders_cuts_and_columns,230387,24,-432767666.95136654,-432767666.95136654,-418602990.16257423,14164676.788792312,3833865.7999126017,-420467.4610429772,-335185.0825927094,-790149.0533612152,-141757892.73075598,-137264692.85793847,-152199279.76567516,2144270.5853395765,1722488.1606928452,761238.6411016465,-137924026.93084338,-135044925.89593232,-150262034.72293276,2564738.046382554,2057673.2432855547,1551387.6944628616,3833865.7999126017,2219766.9620061517,1937245.0427424014,34878,-35979.670064882106,False,,,0.24161529541015625,1.2225475112597148,RegionD,-432767666.95136654,,73.3194477558136,0.22726821899414062,,,,
renew_down_80 Cost区域多切,4,added_region_benders_cuts_and_columns,267029,30,-439753728.3090388,-439753728.3090388,-425093043.75202584,14660684.557012975,4376676.508226603,-468996.33276837674,-382781.7908817651,-1096001.395105021,-141983640.06571168,-142291700.83095336,-153530607.89361864,2315140.8424079395,1707545.3723034943,370866.1238525415,-137606963.55748507,-140167139.2176879,-151712493.315418,2784137.1751763164,2090327.1631852593,1466867.5189575625,4376676.508226603,2124561.613265455,1818114.5782006383,36642,-31985.789506949044,False,,,0.2600517272949219,2.19285356203715,RegionD,-439753728.3090388,,131.53781080245972,0.24773025512695312,,,,
renew_down_80 Cost区域多切,5,added_region_benders_cuts_and_columns,303351,36,-444167662.6398496,-444167662.6398496,-431367039.17788345,12800623.461966157,3679351.0653305054,-544556.9201377386,-398061.9282284075,-1025984.1016625799,-141954502.77359015,-145308286.26882803,-154936270.6474027,1845674.4337199628,1292958.2995901532,421478.25292229466,-138275151.70825964,-143331834.47409928,-153320163.98175737,2390231.3538577016,1691020.2278185608,1447462.3545848746,3679351.0653305054,1976451.794728756,1616106.6656453311,36322,-29965.65665771617,False,,,0.2734565734863281,3.7626362641652427,RegionD,-444167662.6398496,,225.72477293014526,0.26499176025390625,,,,
renew_down_80 Cost区域多切,6,added_region_benders_cuts_and_columns,339394,42,-448140768.0910962,-448140768.0910962,-435633156.4833389,12507611.60775733,3623060.4706181884,-595102.8853167521,-443173.3975806657,-1118610.7051404235,-142832633.00103393,-146448675.4147962,-156702572.68722826,1898808.6870920795,1354506.9294479932,318906.33881127654,-139209572.53041574,-144709574.74282262,-155286231.16545317,2493911.5724088317,1797680.327028659,1437517.0439517,3623060.4706181884,1739100.671973586,1416341.5217750967,36043,-27094.72851996976,False,,,0.2946586608886719,7.5084283471107485,RegionD,-448140768.0910962,,450.4722979068756,0.2794647216796875,,,,
renew_down_80 Cost区域多切,7,added_region_benders_cuts_and_columns,377385,48,-450613883.5240166,-450613883.5240166,-437987126.06714666,12626757.45686996,3888766.845483005,-582239.8213091287,-442504.89697459707,-790730.0718920649,-143453011.3198035,-148171815.28451297,-157173582.12952435,1952025.1666704596,1144651.4313894142,615496.8564792981,-139564244.4743205,-146434949.54087126,-155700105.50649548,2534264.987979588,1587156.3283640114,1406226.9283713629,3888766.845483005,1736865.7436417043,1473476.6230288744,37991,-25175.43971089021,False,,,0.3094062805175781,14.289088881015777,RegionD,-450613883.5240166,,857.3119299411774,0.30157470703125,,,,
