阶段,轮次,事件,活动列数,Benders切数,LP目标值,theta_CNY,真实能源成本_CNY,Benders违反_CNY,最大区域违反_CNY,theta_A_CNY,theta_B_CNY,theta_C_CNY,theta_D_CNY,theta_E_CNY,theta_F_CNY,真实能源成本_A_CNY,真实能源成本_B_CNY,真实能源成本_C_CNY,真实能源成本_D_CNY,真实能源成本_E_CNY,真实能源成本_F_CNY,区域违反_A_CNY,区域违反_B_CNY,区域违反_C_CNY,区域违反_D_CNY,区域违反_E_CNY,区域违反_F_CNY,新增列数,最小缺失列约化成本,根节点闭合,MIP状态,MIP目标值,当前RSS_GiB,累计分钟
Wait阶段,1,added_region_benders_cuts,51260,8,377179.93075674464,-459597007.30938077,-459161483.7134063,435523.59597444534,254488.33863264322,-0.0,-0.0,-0.0,-142783279.19999963,-154303838.82599697,-162509889.28338423,0.0,0.0,0.0,-142783279.19999963,-154122803.56865653,-162255400.9447516,0.0,0.0,0.0,0.0,181035.2573404312,254488.33863264322,0,nan,False,,,0.22755050659179688,0.18121754725774128
Wait阶段,2,added_region_benders_cuts,51260,10,377179.93075674464,-459560729.4792594,-459315073.07890433,245656.40035504103,138037.27754852176,-0.0,-0.0,-0.0,-142783279.19999963,-154301912.40171114,-162475537.87754858,0.0,0.0,0.0,-142783279.19999963,-154194293.27890593,-162337500.60000005,0.0,0.0,0.0,0.0,107619.12280520797,138037.27754852176,0,nan,False,,,0.23473739624023438,0.23308927218119305
Wait阶段,3,added_region_benders_cuts,51260,11,377179.93075674464,-459315073.0789056,-459296292.0676681,18781.011237502098,18781.011236160994,-0.0,-0.0,-0.0,-142783279.19999963,-154194293.2789059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154194293.27890593,-162318719.5887639,0.0,0.0,0.0,0.0,-2.9802322387695312e-08,18781.011236160994,0,nan,False,,,0.23678970336914062,0.28905065059661866
Wait阶段,4,added_columns,66856,11,377179.93075674464,-459315073.0789056,-459315073.07890433,1.2516975402832031e-06,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154194293.2789059,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154194293.27890593,-162337500.60000005,0.0,0.0,0.0,0.0,-2.9802322387695312e-08,0.0,15596,-2449.4222222222224,False,,,0.244720458984375,0.5392918745676677
Wait阶段,5,added_region_benders_cuts,66856,13,32171.761845414494,-459309375.48623323,-459282779.2676364,26596.218596816063,21792.685907036066,-0.0,-0.0,-0.0,-142783279.19999963,-154188595.68623352,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154166803.00032648,-162332697.06731153,0.0,0.0,0.0,0.0,21792.685907036066,4803.532688528299,0,nan,False,,,0.2502899169921875,0.6030089775721232
Wait阶段,6,added_columns,78374,13,32171.76184541449,-459309375.48623323,-459309375.486232,1.2516975402832031e-06,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154188595.68623352,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154188595.68623352,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,0.0,11518,-7819.24040665217,False,,,0.25152587890625,0.8668954968452454
Wait阶段,7,added_region_benders_cuts,78374,16,0.0,-459321725.0326556,-458849799.7702976,471925.2623580098,426955.65907254815,-0.0,-0.0,-0.0,-142783279.19999963,-154200945.23265588,-162337500.60000005,0.0,0.0,0.0,-142356323.54092708,-154156402.26417407,-162337073.96519777,0.0,0.0,0.0,426955.65907254815,44542.9684818089,426.63480228185654,0,nan,False,,,0.25789642333984375,0.9436228752136231
Wait阶段,8,added_region_benders_cuts,78374,18,0.0,-459321644.42181885,-459321028.0463689,616.3754499554634,613.754895478487,-0.0,-0.0,-0.0,-142783279.19999963,-154200864.62181917,-162337500.60000005,0.0,0.0,0.0,-142782665.44510415,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,613.754895478487,2.6205532252788544,0.0,0,nan,False,,,0.2565116882324219,1.0278058926264444
Wait阶段,9,added_region_benders_cuts,78374,19,0.0,-459321641.8012656,-459294611.95884824,27029.842417359352,27029.842416107655,-0.0,-0.0,-0.0,-142783279.19999963,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,-142756249.35758352,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,27029.842416107655,0.0,0.0,0,nan,False,,,0.2579689025878906,1.1197135011355082
Wait阶段,10,added_region_benders_cuts,78374,20,0.0,-459320951.7470056,-459294091.5111076,26860.23589795828,26860.235896646976,-0.0,-0.0,-0.0,-142783279.19999963,-154200171.94700587,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154173311.71110922,-162337500.60000005,0.0,0.0,0.0,0.0,26860.235896646976,0.0,0,nan,False,,,0.2599372863769531,1.213843329747518
Wait阶段,11,root_lp_closed,78374,20,0.0,-459319362.6231055,-459319362.6231043,1.2516975402832031e-06,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154198582.82310587,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154198582.82310587,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,True,,,0.26251220703125,1.5086021701494852
Wait阶段,11,integer_added_region_benders_cuts,78374,20,0.0,-459319362.6231055,-459188838.05173194,86108.52006983757,47390.11333373189,0.0,0.0,0.0,-142783279.19999963,-154154166.77180213,-162337500.60000005,0.0,0.0,0.0,-142735889.0866659,-154142151.67265058,-162310797.2924167,0.0,0.0,0.0,47390.11333373189,12015.099151551723,26703.307583361864,0,0.0,False,需要继续,32.0,0.26251220703125,1.5086021701494852
Wait阶段,12,root_lp_closed,78374,23,0.0,-459321468.5286094,-459321468.52860814,1.2516975402832031e-06,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154200688.72860974,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154200688.72860974,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,True,,,0.2667503356933594,2.047103162606557
Wait阶段,12,integer_added_region_benders_cuts,78374,23,0.0,-459321468.5286094,-459104985.378615,169961.19318675995,123840.7593177259,0.0,0.0,0.0,-142783279.19999963,-154194583.8437059,-162297083.52809626,0.0,0.0,0.0,-142659438.4406819,-154136955.1152384,-162308591.8226959,0.0,0.0,0.0,123840.7593177259,57628.72846749425,-11508.29459965229,0,0.0,False,需要继续,32.0,0.2667503356933594,2.047103162606557
Wait阶段,13,root_lp_closed,78374,25,0.0,-459321641.8012656,-459321641.80126435,1.2516975402832031e-06,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,True,,,0.2700386047363281,2.600548549493154
Wait阶段,13,integer_added_region_benders_cuts,78374,25,0.0,-459321641.8012656,-459240456.51795477,34490.053847014904,50428.7534160614,0.0,0.0,0.0,-142783279.19999963,-154154166.77180213,-162337500.60000005,0.0,0.0,0.0,-142732850.44658357,-154170668.36047304,-162336937.71089935,0.0,0.0,0.0,50428.7534160614,-16501.588670909405,562.8891007006168,0,0.0,False,需要继续,32.0,0.2700386047363281,2.600548549493154
Wait阶段,14,added_region_benders_cuts,78374,28,0.0,-459321641.8012656,-459312400.7309544,9241.070311188698,9241.070309996605,-0.0,-0.0,-0.0,-142783279.19999963,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154191620.93095595,-162337500.60000005,0.0,0.0,0.0,0.0,9241.070309996605,0.0,0,nan,False,,,0.3840141296386719,2.9069619377454123
Wait阶段,15,root_lp_closed,78374,28,0.0,-459321641.8012656,-459321641.80126435,1.2516975402832031e-06,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,True,,,0.3001289367675781,3.2184555530548096
Wait阶段,15,integer_added_region_benders_cuts,78374,28,0.0,-459321641.8012656,-459268526.829406,6419.742395758629,19726.45687559247,0.0,0.0,0.0,-142783279.19999963,-154157319.48232546,-162334347.8894767,0.0,0.0,0.0,-142763552.74312404,-154170626.19680655,-162334347.8894767,0.0,0.0,0.0,19726.45687559247,-13306.714481085539,0.0,0,0.0,False,需要继续,32.0,0.3001289367675781,3.2184555530548096
Wait阶段,16,root_lp_closed,78374,29,0.0,-459320379.8679055,-459320379.8679043,1.1920928955078125e-06,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154199600.06790587,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154199600.0679059,-162337500.60000005,0.0,0.0,0.0,0.0,-2.9802322387695312e-08,0.0,0,0.0,True,,,0.3027534484863281,3.6767879923184714
Wait阶段,16,integer_added_region_benders_cuts,78374,29,0.0,-459320379.8679055,-459278062.0739396,33324.87619262934,26517.25440815091,0.0,0.0,0.0,-142783279.1999996,-154193759.86065593,-162334347.8894767,0.0,0.0,0.0,-142776471.57821634,-154167242.60624778,-162334347.8894767,0.0,0.0,0.0,6807.621783256531,26517.25440815091,0.0,0,0.0,False,需要继续,32.0,0.3027534484863281,3.6767879923184714
Wait阶段,17,root_lp_closed,78374,31,0.0,-459321556.37830555,-459321556.3783043,1.2516975402832031e-06,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154200776.57830587,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154200776.5783059,-162337500.60000005,0.0,0.0,0.0,0.0,-2.9802322387695312e-08,0.0,0,0.0,True,,,0.3054008483886719,4.512852374712626
Wait阶段,17,integer_added_region_benders_cuts,78374,31,0.0,-459321556.37830555,-459300574.5717773,14274.347827613354,9179.52631688118,0.0,0.0,0.0,-142783279.19999963,-154194632.00870588,-162336937.71089935,0.0,0.0,0.0,-142778522.95987153,-154185452.482389,-162336599.129518,0.0,0.0,0.0,4756.240128099918,9179.52631688118,338.5813813507557,0,0.0,False,需要继续,32.0,0.3054008483886719,4.512852374712626
Wait阶段,18,root_lp_closed,78374,34,0.0,-459321641.8012656,-459321641.80126435,1.2516975402832031e-06,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,True,,,0.3083229064941406,5.093707529703776
Wait阶段,18,stage_completed,78374,34,0.0,-459321641.8012656,-459299940.3301806,-24993.75837880373,0.0,-0.0,-0.0,-0.0,-142783279.19999963,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,-142783279.19999963,-154200862.00126594,-162337500.60000005,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,True,restricted_mip_completed,32.0,0.3083229064941406,5.093707529703776
Latency阶段,1,added_region_benders_cuts,78374,37,1330942.8142346574,-459274946.5718018,-459006362.2616941,268584.310107708,117517.95222842693,-0.0,-0.0,-0.0,-142749573.2214627,-154189907.0720309,-162335466.27830818,0.0,0.0,0.0,-142632055.26923427,-154076173.9503434,-162298133.04211763,0.0,0.0,0.0,117517.95222842693,113733.12168750167,37333.23619055748,0,nan,False,,,0.41265869140625,5.42212495803833
Latency阶段,2,added_region_benders_cuts,78374,40,1331206.8680314224,-459274946.5718018,-459043937.7544934,231008.8173083663,111798.23790898919,-0.0,-0.0,-0.0,-142749366.6913394,-154189907.0720309,-162335672.80843148,0.0,0.0,0.0,-142637568.4534304,-154082747.05582538,-162323622.24523887,0.0,0.0,0.0,111798.23790898919,107160.01620551944,12050.563192605972,0,nan,False,,,0.4167366027832031,5.565069556236267
Latency阶段,3,added_region_benders_cuts,78374,43,1331309.5076360826,-459274946.5718018,-459149818.15247947,125128.41932231188,70586.66473990679,-0.0,-0.0,-0.0,-142749366.6913394,-154189907.0720309,-162335672.80843148,0.0,0.0,0.0,-142678780.0265995,-154143618.1486525,-162327419.9772287,0.0,0.0,0.0,70586.66473990679,46288.923378407955,8252.83120277524,0,nan,False,,,0.4185829162597656,5.718102383613586
Latency阶段,4,added_region_benders_cuts,78374,46,1331343.323183035,-459274946.5718018,-459154408.6023095,120537.96949225664,57794.05382925272,-0.0,-0.0,-0.0,-142757615.674858,-154189907.0720309,-162327423.82491288,0.0,0.0,0.0,-142703123.20318088,-154132113.01820165,-162319172.38092828,0.0,0.0,0.0,54492.4716771245,57794.05382925272,8251.443984597921,0,nan,False,,,0.42020416259765625,5.87932596206665
Latency阶段,5,added_region_benders_cuts,78374,49,1331372.7852660264,-459274946.5718018,-459167677.23606473,107269.33573704958,56365.29761227965,-0.0,-0.0,-0.0,-142749366.6913394,-154189907.0720309,-162335672.80843148,0.0,0.0,0.0,-142698467.57414776,-154133541.77441862,-162335667.88749957,0.0,0.0,0.0,50899.11719164252,56365.29761227965,4.920931905508041,0,nan,False,,,0.4214286804199219,6.049350261688232
