fraction,carbon_budget,exact_cost,exact_carbon,exact_time_s,benders_cost,benders_converged,benders_iters,benders_time_s,migrated,total_wait,mean_wait,max_wait,lat_sum,lat_mean,cost_penalty_vs_costopt,carbon_reduction_vs_costopt,avg_abatement_CNY_per_tCO2
1.0,53.647629846155745,-5018111.400085246,53.647629846155745,0.2644526958465576,-5018111.400085245,False,30,4.310420513153076,35,179.0,4.475,15.0,1636.0,40.9,0.0,0.0,
0.75,40.23572238461681,-5016918.6453017155,40.23572238461681,0.6288189888000488,-5016918.645301715,False,30,4.235972881317139,33,211.0,5.275,24.0,1731.0,43.275,1192.7547835307196,13.411907461538938,88.93252409854146
0.5,26.823814923077872,-5015725.890518185,26.823814923077872,0.7611653804779053,-5015725.890518184,False,30,4.435041189193726,33,190.0,4.75,24.0,1725.0,43.125,2385.509567061439,26.823814923077872,88.93252409854146
0.25,13.411907461538936,-5014489.572049911,13.411907461538936,0.40604114532470703,-5014489.572049911,False,30,4.224178314208984,36,196.0,4.9,24.0,1833.0,45.825,3621.8280353350565,40.23572238461681,90.01523573290629
0.0,1e-08,-5013150.079013563,1e-08,0.8167142868041992,-5013150.079014561,False,30,4.253984689712524,31,162.0,4.05,14.0,1647.0,41.175,4961.321071683429,53.647629836155744,92.47978124729293
