iter,LB,candidate_Q,UB,gap,cuts,nogoods,energy_feasible
1,-5465627.184363884,-5450201.934545998,-5450201.934545998,15425.249817885458,6,0,True
2,-5450201.934545999,-5450201.934545998,-5450201.934545998,9.313225746154785e-10,12,0,True
