场景,碳预算比例,碳预算_tCO2,Cost_CNY,Carbon_tCO2,总等待_h,平均时延_ms,RenewableUtilization_pct,PeakNetImport_MW,迁移率,证书状态
carbon_100,1.0,0.0,-459340688.8007043,0.0,0.0,5.0172,69.52081930719858,0.0,0.00122,DEGENERATE_EQUIVALENT_PASS
carbon_75,0.75,0.0,-459340688.8007043,0.0,0.0,5.0172,69.52081930719858,0.0,0.00122,DEGENERATE_EQUIVALENT_PASS
carbon_50,0.5,0.0,-459340688.8007043,0.0,0.0,5.0172,69.52081930719858,0.0,0.00122,DEGENERATE_EQUIVALENT_PASS
carbon_25,0.25,0.0,-459340688.8007043,0.0,0.0,5.0172,69.52081930719858,0.0,0.00122,DEGENERATE_EQUIVALENT_PASS
