X_扫描轮次,Y_Cost主端点碳排_tCO2,Y_Carbon主端点碳排_tCO2
1,1833672.6544798352,1821562.901426745
2,1827611.7962826672,1816461.3612512168
3,1826774.354637248,1815531.605620396
