X_扫描轮次（次）,Y_参考起点运行成本（CNY）,Y_前次起点运行成本（CNY）
1,1562872479.3892486,1593608179.113067
2,1556268582.4321704,1579716442.8056028
3,1555371304.1316478,1577048853.1269438
4,,1576174462.1213064
