X_运行成本_CNY,Y_碳排放_tCO2,标签_方案
1801786872.691887,2045367.4752840465,附件基准
1555371304.1316478,1826774.354637248,Cost主端点
1558153356.531096,1815531.605620396,Carbon主端点
1576174462.1213064,1838076.572814389,前次起点Cost
